flight,date,route,commanded_speed_mps,payload_g,cruise_altitude_m,duration_s,energy_wh_abs_vi,mean_power_w_abs_vi,central_segment_power_w,mean_wind_mps,p95_wind_mps
102,2019-06-19,R1,4.0,500.0,100.0,252.5,34.052405215840025,485.4996387208875,563.2587909568058,3.7238151693663677,7.5
105,2019-06-19,R1,6.0,500.0,100.0,221.1,28.98244202655868,471.89864900773966,578.0455405074183,3.7541638516853126,9.300000190734863
106,2019-06-19,R1,10.0,500.0,100.0,194.8,25.279160932225842,467.1713519302517,587.297833895716,4.039260976469636,12.0
107,2019-06-19,R1,12.0,500.0,100.0,194.9,25.079481888862503,463.24338019448436,583.437256830084,3.8265384538643636,12.899999618530273
108,2019-06-24,R1,6.0,0.0,25.0,161.9,15.744227041678915,350.08781562720253,449.12821768479245,4.894967379907748,10.800000190734863
109,2019-06-24,R1,4.0,500.0,75.0,253.9,30.984832041111567,439.32806359984886,543.5130876389085,4.537256068904184,9.699999809265137
110,2019-06-24,R1,4.0,0.0,75.0,245.8,25.519723476944684,373.763240508547,459.8595418286141,3.4013513451950117,7.0
111,2019-06-24,R1,12.0,250.0,25.0,135.8,14.101774287383748,373.8320135094366,522.072014965578,4.495364240973069,12.800000190734865
112,2019-06-24,R1,6.0,500.0,75.0,201.5,25.991261791745714,464.3600121602212,567.9533371059482,4.6520864374591415,10.994999980926519
113,2019-06-24,R1,12.0,250.0,100.0,201.2,21.85113837084058,390.9746428182211,527.8050002409313,5.304583005915004,15.199999809265135
114,2019-06-24,R1,10.0,0.0,75.0,176.92,18.861830739202322,383.8039264137936,496.9179743418315,5.368707477336838,14.399999618530273
115,2019-06-24,R1,8.0,500.0,25.0,148.8,17.397596149169747,420.90958425410673,564.1257369559393,5.675553328674324,12.600000381469727
116,2019-06-24,R1,12.0,0.0,25.0,134.9,14.024848834090413,374.27320832265,507.4795113001527,5.843348120242159,15.899999618530273
117,2019-06-24,R1,10.0,0.0,50.0,161.0,15.91870114237723,355.94611250036047,470.75433971593696,5.688164021267807,14.399999618530273
118,2019-06-24,R1,4.0,250.0,100.0,256.2,30.52633234278812,428.9414380719642,495.3757569091318,5.797417849022458,11.800000190734865
119,2019-06-24,R1,8.0,0.0,50.0,199.5,17.026428085530966,307.24381507725053,398.25613346222923,4.277119281523584,12.5
120,2019-06-25,R1,10.0,250.0,25.0,138.4,13.72621922358435,357.04038442849463,494.0067430850323,5.26590661541129,13.399999618530273
121,2019-06-25,R1,6.0,0.0,50.0,183.1,18.25591241653146,358.93656307762564,454.97301503770467,5.208032780641415,11.0
122,2019-06-25,R1,10.0,500.0,75.0,174.4,21.31732613721879,440.03654870405757,552.8005728261849,5.044969903889752,12.5
123,2019-06-25,R1,6.0,250.0,100.0,215.1,26.378507646064566,441.4812995157249,532.7033890211053,6.05658263274852,12.964999866485606
124,2019-06-25,R1,8.0,0.0,25.0,149.8,14.412413424866736,346.3597351770377,472.9154411887487,4.841465868467248,10.899999618530273
125,2019-06-25,R1,4.0,250.0,75.0,231.61,27.598362393061215,428.97156692293237,496.8452043025332,5.312409718056807,9.399999618530273
126,2019-06-25,R1,4.0,500.0,100.0,262.51,36.220091582013275,496.7137621242916,570.7849159461822,6.103141375635862,11.100000381469727
127,2019-06-25,R1,8.0,250.0,50.0,163.6,19.39459556098797,426.7759414398331,541.7469506395354,4.961418043513325,12.775000095367432
128,2019-06-25,R1,8.0,0.0,100.0,205.3,21.74335604261725,381.2765794126746,475.63506967487604,5.920909763831079,14.189999866485604
129,2019-06-25,R1,12.0,500.0,75.0,188.3,24.77281144579883,473.61721298393934,583.4198731934661,6.670192316150627,13.665000009536751
130,2019-06-25,R1,10.0,500.0,50.0,155.6,19.46237203994167,450.28624256934455,582.5672209268548,5.585645466511764,14.100000381469727
131,2019-06-25,R1,4.0,0.0,100.0,250.21,27.500948168439898,395.68128134920124,445.90068435872024,5.831995133790946,10.684999895095816
134,2019-06-29,R1,12.0,500.0,50.0,160.69,18.167618766595602,407.0161650366804,565.8566758581999,4.563221595751284,13.699999809265135
135,2019-06-29,R1,4.0,250.0,25.0,196.3,23.621958342078,433.209628280595,532.2212796880137,3.8673796828599993,8.0
